,total_nodes,total_matches,nodes
69,2,4.0,"{'11411', '13616'}"
70,2,7.0,"{'13617', '7545'}"
71,2,11.0,"{'12083', '11732'}"
72,2,4.0,"{'10566', '10381'}"
73,2,8.0,"{'16094', '16034'}"
74,3,44.0,"{'13584', '9332', '2426'}"
75,2,27.0,"{'13657', '5597'}"
76,3,33.0,"{'9615', '14478', '7167'}"
77,2,8.0,"{'13737', '13734'}"
78,2,4.0,"{'12805', '7188'}"
79,3,9.0,"{'11896', '3338', '2612'}"
80,3,54.0,"{'10340', '13813', '14210'}"
81,2,7.0,"{'13789', '4842'}"
82,3,88.0,"{'14554', '14521', '15252'}"
83,2,5.0,"{'13909', '3467'}"
84,2,5.0,"{'13992', '13912'}"
85,2,3.0,"{'16348', '16350'}"
86,2,10.0,"{'6451', '14029'}"
87,4,17.0,"{'38712', '4697', '15521', '7575'}"
88,2,38.0,"{'15039', '15038'}"
89,2,9.0,"{'13510', '13545'}"
90,2,6.0,"{'8826', '14190'}"
91,2,15.0,"{'14296', '14264'}"
92,2,4.0,"{'14200', '14290'}"
93,2,61.0,"{'5523', '11515'}"
94,2,11.0,"{'15487', '15428'}"
95,3,39.0,"{'32547', '13586', '13643'}"
96,4,56.0,"{'15258', '14496', '15611', '14487'}"
97,2,4.0,"{'14653', '14480'}"
98,2,8.0,"{'1673', '7970'}"
99,2,9.0,"{'14519', '14516'}"
100,2,12.0,"{'14874', '14870'}"
101,2,3.0,"{'15127', '15135'}"
102,2,4.0,"{'14911', '14875'}"
103,2,44.0,"{'8190', '14914'}"
104,4,108.0,"{'14379', '14913', '14910', '14380'}"
105,3,44.0,"{'14832', '13329', '9361'}"
106,2,16.0,"{'14995', '3278'}"
107,2,25.0,"{'15182', '14844'}"
108,2,9.0,"{'14021', '14180'}"
109,2,5.0,"{'15495', '14542'}"
110,2,13.0,"{'15025', '10910'}"
111,2,6.0,"{'11398', '15050'}"
112,2,13.0,"{'1085', '5519'}"
113,2,11.0,"{'15659', '7161'}"
114,2,7.0,"{'15103', '15100'}"
115,2,10.0,"{'15167', '15177'}"
116,2,11.0,"{'15136', '15137'}"
117,2,16.0,"{'15223', '15221'}"
118,2,4.0,"{'15315', '15292'}"
119,2,5.0,"{'15222', '10320'}"
120,3,24.0,"{'15313', '15356', '15268'}"
121,2,3.0,"{'8096', '15240'}"
122,2,19.0,"{'15481', '14269'}"
123,2,9.0,"{'951', '16100'}"
124,4,166.0,"{'18976', '17407', '8604', '15311'}"
125,2,5.0,"{'15461', '15460'}"
126,5,159.0,"{'18011', '15394', '4953', '16210', '1653'}"
127,2,6.0,"{'18231', '18229'}"
128,2,3.0,"{'15577', '15335'}"
129,2,26.0,"{'5808', '4643'}"
130,3,16.0,"{'15597', '15526', '18913'}"
131,2,5.0,"{'13317', '15724'}"
132,2,3.0,"{'15777', '12049'}"
133,2,11.0,"{'15813', '11371'}"
134,3,30.0,"{'15885', '15911', '15877'}"
135,2,6.0,"{'15957', '10738'}"
136,2,20.0,"{'15269', '15276'}"
137,3,44.0,"{'15557', '15962', '15466'}"
138,2,3.0,"{'15969', '15930'}"
139,4,18.0,"{'15498', '17442', '25534', '24786'}"
140,2,6.0,"{'16072', '16075'}"
141,2,3.0,"{'15895', '16092'}"
142,2,9.0,"{'16316', '16195'}"
143,4,78.0,"{'16046', '16020', '16242', '16341'}"
144,3,23.0,"{'17279', '4347', '18906'}"
145,2,18.0,"{'16271', '16393'}"
146,2,5.0,"{'16400', '16401'}"
147,3,10.0,"{'16399', '3672', '9824'}"
148,2,7.0,"{'2445', '16417'}"
149,5,32.0,"{'27527', '16540', '16539', '16411', '27526'}"
150,2,5.0,"{'16509', '16247'}"
151,12,531.0,"{'27688', '30757', '28875', '28874', '16969', '35366', '39607', '2', '39213', '152', '34805', '27689'}"
152,2,49.0,"{'16009', '16893'}"
153,2,3.0,"{'17170', '5326'}"
154,2,4.0,"{'17228', '16429'}"
155,2,42.0,"{'17264', '16933'}"
156,2,9.0,"{'15979', '16888'}"
157,2,5.0,"{'17353', '17366'}"
158,12,228.0,"{'26392', '18700', '18314', '17375', '17395', '37817', '36624', '16603', '15149', '15147', '18002', '17720'}"
159,5,127.0,"{'36591', '18588', '19189', '16193', '31460'}"
160,3,147.0,"{'18279', '10310', '18146'}"
161,6,112.0,"{'25467', '18683', '18909', '39566', '25557', '26401'}"
162,2,21.0,"{'19042', '19108'}"
163,2,3.0,"{'19405', '19451'}"
164,2,14.0,"{'19083', '18395'}"
165,5,77.0,"{'37072', '19879', '25538', '19467', '19452'}"
166,2,4.0,"{'14119', '17189'}"
167,2,7.0,"{'18911', '10415'}"
168,2,11.0,"{'19548', '18931'}"
169,2,28.0,"{'19653', '18740'}"
170,2,3.0,"{'20676', '20686'}"
171,9,112.0,"{'27932', '30153', '28793', '26617', '27557', '21334', '30543', '33828', '27556'}"
172,3,35.0,"{'16565', '35434', '20791'}"
173,2,19.0,"{'34999', '34882'}"
174,2,10.0,"{'14686', '14538'}"
175,2,11.0,"{'16390', '22058'}"
176,10,101.0,"{'34317', '21933', '32682', '40596', '40294', '40594', '32664', '37148', '32681', '39565'}"
177,2,3.0,"{'23699', '17104'}"
178,2,32.0,"{'24134', '23468'}"
179,2,4.0,"{'3292', '24951'}"
180,4,36.0,"{'25099', '25048', '25100', '35922'}"
181,2,13.0,"{'16831', '24916'}"
182,2,14.0,"{'25477', '17816'}"
183,2,4.0,"{'18332', '25593'}"
184,2,14.0,"{'20038', '25597'}"
185,2,6.0,"{'25655', '15855'}"
186,3,15.0,"{'10211', '23374', '10785'}"
187,2,5.0,"{'25986', '24947'}"
188,4,27.0,"{'32473', '34091', '34090', '12655'}"
189,2,9.0,"{'26396', '16491'}"
190,2,8.0,"{'18575', '26492'}"
191,3,29.0,"{'31037', '26588', '26583'}"
192,7,148.0,"{'30333', '21853', '29637', '29605', '17364', '20407', '30759'}"
193,2,13.0,"{'39542', '40320'}"
194,3,9.0,"{'28317', '26249', '27141'}"
195,2,4.0,"{'36000', '15234'}"
196,2,24.0,"{'37702', '35757'}"
197,6,93.0,"{'36381', '29495', '36094', '29668', '36406', '31270'}"
198,3,21.0,"{'30137', '29545', '35011'}"
199,2,11.0,"{'30856', '30866'}"
200,2,7.0,"{'31160', '26587'}"
201,2,27.0,"{'29292', '39942'}"
202,2,7.0,"{'15839', '35475'}"
203,2,5.0,"{'32970', '36017'}"
204,2,10.0,"{'36445', '36658'}"
205,2,6.0,"{'9011', '41810'}"
206,3,9.0,"{'36702', '35014', '34785'}"
207,3,9.0,"{'36792', '15992', '16159'}"
208,2,3.0,"{'36400', '35453'}"
209,2,6.0,"{'36744', '36472'}"
210,2,8.0,"{'17154', '38229'}"
211,2,14.0,"{'36995', '38315'}"
212,3,21.0,"{'41064', '40718', '41063'}"
213,3,106.0,"{'38630', '38954', '38579'}"
214,2,6.0,"{'38729', '38684'}"
215,2,4.0,"{'38734', '38714'}"
216,2,4.0,"{'35483', '35805'}"
217,2,3.0,"{'38813', '38820'}"
218,2,19.0,"{'57', '9798'}"
219,2,3.0,"{'39418', '39533'}"
220,2,11.0,"{'39841', '39661'}"
221,2,7.0,"{'40086', '40163'}"
222,2,8.0,"{'39961', '38030'}"
223,2,6.0,"{'42286', '39359'}"
