,id,usr_id,cntr_id,bkng_id,oppnt_id,match_id,centre_user_verified,centre_verified,created,date_time,match_type,result,score,sets_won,sport,status,team,user_opponent_verified,user_verified,verified,user_id,centre_id,booking_id,opponent
463,4176,9318,3,45266,10240,b6121698-6918-4e7d-b918-a3cfd25ac539,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_153a64dd-7a41-4dea-b1f6-285330964399_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-12T13:17:28,2022-02-12_18:00,singles,W,"[[12, 14], [11, 7], [11, 9], [8, 11], [11, 9], [11, 7]]",4,squash,CONFIRMED,player1,"""153a64dd-7a41-4dea-b1f6-285330964399_b24e68d0-0659-424c-af2c-905923e25e18_True",153a64dd-7a41-4dea-b1f6-285330964399_True,True,153a64dd-7a41-4dea-b1f6-285330964399,a27ac136-1bdf-11e9-a311-4a63b083e8d2,d3e031ac-4959-4518-8dd0-a00fc219f0ec,b24e68d0-0659-424c-af2c-905923e25e18
464,4180,3580,3,45242,1405,952e06c4-45db-448a-ba6d-8cc5530be815,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_8a570cb0-41c8-4782-9dc1-54d5e810016b_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-12T13:56:56,2022-02-12_19:00,singles,W,"[[11, 8]]",1,squash,CONFIRMED,player1,"""8a570cb0-41c8-4782-9dc1-54d5e810016b_07e82391-0086-4b91-b5df-c6e50d7c71e7_True",8a570cb0-41c8-4782-9dc1-54d5e810016b_True,True,8a570cb0-41c8-4782-9dc1-54d5e810016b,a27ac136-1bdf-11e9-a311-4a63b083e8d2,324ca064-6ec7-4c9d-a53b-9c084a95872f,07e82391-0086-4b91-b5df-c6e50d7c71e7
466,4189,2124,3,44908,1689,d74dc489-ccfa-4f1c-9b68-b5093555bb4c,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_16d80111-7539-4f14-8d1c-5c83e509e298_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-12T15:17:09,2022-02-12_20:00,singles,W,"[[10, 12]]",1,squash,CONFIRMED,player2,"""16d80111-7539-4f14-8d1c-5c83e509e298_350a962d-9680-4698-9eb7-a0fa0b9f5bc0_True",16d80111-7539-4f14-8d1c-5c83e509e298_True,True,16d80111-7539-4f14-8d1c-5c83e509e298,a27ac136-1bdf-11e9-a311-4a63b083e8d2,3dd54bbd-09fa-4ae4-98c2-cabea13bf0ae,350a962d-9680-4698-9eb7-a0fa0b9f5bc0
469,4196,11004,3,45304,10990,03080e84-e980-4534-9185-70159d544dc6,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_b6949172-346f-4ed4-a4dc-9d5ea1255acb_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T03:34:13,2022-02-13_08:00,singles,L,"[[6, 11]]",0,squash,CONFIRMED,player1,"""b6949172-346f-4ed4-a4dc-9d5ea1255acb_4a598013-3ceb-4305-a47c-d12ed15c249b_True",b6949172-346f-4ed4-a4dc-9d5ea1255acb_True,True,b6949172-346f-4ed4-a4dc-9d5ea1255acb,a27ac136-1bdf-11e9-a311-4a63b083e8d2,8e5cd8c0-d479-47e8-ad83-dd345a161c3d,4a598013-3ceb-4305-a47c-d12ed15c249b
470,4195,10676,3,45304,11004,a95d14f3-91ce-40a9-a059-fe2cf99e789d,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T03:34:15,2022-02-13_08:00,singles,W,"[[5, 11], [2, 11], [3, 11]]",3,squash,CONFIRMED,player2,"""0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_b6949172-346f-4ed4-a4dc-9d5ea1255acb_True",0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True,True,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f,a27ac136-1bdf-11e9-a311-4a63b083e8d2,8e5cd8c0-d479-47e8-ad83-dd345a161c3d,b6949172-346f-4ed4-a4dc-9d5ea1255acb
471,4192,10676,3,45304,10990,4a359786-2dae-4c18-9f16-039e52b8fe94,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T03:34:14,2022-02-13_08:00,singles,W,"[[12, 10], [8, 11], [11, 5], [11, 8], [11, 6], [11, 9]]",5,squash,CONFIRMED,player1,"""0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_4a598013-3ceb-4305-a47c-d12ed15c249b_True",0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True,True,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f,a27ac136-1bdf-11e9-a311-4a63b083e8d2,8e5cd8c0-d479-47e8-ad83-dd345a161c3d,4a598013-3ceb-4305-a47c-d12ed15c249b
472,4202,10676,3,45305,10990,b1c00eb3-2d34-40ff-b3b1-2eee5cabc393,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T04:30:30,2022-02-13_09:00,singles,L,"[[2, 11]]",0,squash,CONFIRMED,player1,"""0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_4a598013-3ceb-4305-a47c-d12ed15c249b_True",0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True,True,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f,a27ac136-1bdf-11e9-a311-4a63b083e8d2,439342cd-66d6-4510-a4cf-455303fd58fb,4a598013-3ceb-4305-a47c-d12ed15c249b
473,4201,11004,3,45305,10676,10c7a077-806f-4ce3-ae26-1b1939cfe520,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_b6949172-346f-4ed4-a4dc-9d5ea1255acb_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T04:30:28,2022-02-13_09:00,singles,L,"[[11, 2]]",0,squash,CONFIRMED,player2,"""b6949172-346f-4ed4-a4dc-9d5ea1255acb_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",b6949172-346f-4ed4-a4dc-9d5ea1255acb_True,True,b6949172-346f-4ed4-a4dc-9d5ea1255acb,a27ac136-1bdf-11e9-a311-4a63b083e8d2,439342cd-66d6-4510-a4cf-455303fd58fb,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f
474,4198,10990,3,45305,10676,587f11ac-a5db-4410-b5d9-b1c025dfe16e,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_4a598013-3ceb-4305-a47c-d12ed15c249b_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T04:30:29,2022-02-13_09:00,singles,L,"[[2, 11]]",0,squash,CONFIRMED,player1,"""4a598013-3ceb-4305-a47c-d12ed15c249b_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",4a598013-3ceb-4305-a47c-d12ed15c249b_True,True,4a598013-3ceb-4305-a47c-d12ed15c249b,a27ac136-1bdf-11e9-a311-4a63b083e8d2,439342cd-66d6-4510-a4cf-455303fd58fb,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f
475,4214,10676,3,45305,11004,2abf7b3c-4426-4ae5-aee5-d8cb34caf678,"""a27ac136-1bdf-11e9-a311-4a63b083e8d2_0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True",a27ac136-1bdf-11e9-a311-4a63b083e8d2_True,2022-02-13T04:30:29,2022-02-13_09:00,singles,L,"[[7, 11]]",0,squash,CONFIRMED,player1,"""0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_b6949172-346f-4ed4-a4dc-9d5ea1255acb_True",0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f_True,True,0e6a10ff-8c1b-4f5e-8577-06e68a12aa3f,a27ac136-1bdf-11e9-a311-4a63b083e8d2,439342cd-66d6-4510-a4cf-455303fd58fb,b6949172-346f-4ed4-a4dc-9d5ea1255acb
